hdirank,country,countryid,region,humandevelopmentdegree,gdivalue,gdigroup,hdifemale,hdimale,sdg3female,sdg3male,sdg43female,sdg43male,sdg44female,sdg44male,sdg85female,sdg85male
1,Norway,NOR,Europe and Central Asia,VERY HIGH,0.990,1,0.949,0.959,84.4,80.4,18.8,17.4,13.0,12.8,58548.43908,74279.89502
2,Ireland,IRL,Europe and Central Asia,VERY HIGH,0.981,1,0.943,0.961,83.9,80.7,18.8,18.6,12.9,12.4,55540.1454,81400.50775
3,Switzerland,CHE,Europe and Central Asia,VERY HIGH,0.968,2,0.934,0.965,85.6,81.9,16.2,16.4,12.7,13.6,57840.35007,81136.60859
4,Hong Kong,HKG,East Asia and the Pacific,VERY HIGH,0.972,2,0.933,0.959,87.7,82.0,17.1,16.8,11.9,12.7,45960.59934,82992.88075
5,Australia,AUS,East Asia and the Pacific,VERY HIGH,0.976,1,0.932,0.955,85.4,81.5,22.4,21.5,12.8,12.7,39286.57417,56953.61353
6,Denmark,DNK,Europe and Central Asia,VERY HIGH,0.983,1,0.931,0.948,82.9,78.9,19.6,18.3,12.8,12.4,49296.29514,68133.62253
7,Finland,FIN,Europe and Central Asia,VERY HIGH,0.990,1,0.932,0.942,84.7,79.1,20.2,18.6,13.0,12.6,40758.75515,56485.02918
8,Singapore,SGP,East Asia and the Pacific,VERY HIGH,0.985,1,0.931,0.945,85.7,81.5,16.7,16.3,11.2,12.1,71387.27614,103421.3857
9,United Kingdom,GBR,Europe and Central Asia,VERY HIGH,0.970,2,0.916,0.944,83.0,79.6,18.0,17.0,13.2,13.2,33322.81666,59134.68614
10,Belgium,BEL,Europe and Central Asia,VERY HIGH,0.974,2,0.918,0.943,83.9,79.3,20.7,18.8,11.9,12.2,41948.31853,62427.38621
11,New Zealand,NZL,East Asia and the Pacific,VERY HIGH,0.964,2,0.912,0.946,84.0,80.6,19.7,17.9,12.7,12.9,31232.96331,50692.96029
12,Austria,AUT,Europe and Central Asia,VERY HIGH,0.964,2,0.903,0.937,83.9,79.2,16.4,15.8,12.2,12.9,39385.878,73527.75415
13,Japan,JPN,East Asia and the Pacific,VERY HIGH,0.978,1,0.906,0.927,87.7,81.5,15.2,15.3,13.1,12.6,30583.92966,55869.37695
14,Korea (Republic of),KOR,East Asia and the Pacific,VERY HIGH,0.936,3,0.881,0.941,86.0,79.9,15.9,17.0,11.4,12.9,27734.21595,58309.27944
15,United Arab Emirates,ARE,Arab States,VERY HIGH,0.931,3,0.842,0.905,79.3,77.3,14.8,14.1,11.7,12.4,28577.6578,84722.52254
16,Saudi Arabia,SAU,Arab States,VERY HIGH,0.896,5,0.791,0.883,76.8,73.9,16.0,16.2,9.8,10.5,16511.71198,70180.91199
17,Bahrain,BHR,Arab States,VERY HIGH,0.922,4,0.806,0.874,78.4,76.4,16.7,16.1,9.1,9.7,19059.24786,55564.60311
18,Chile,CHL,Latin America and the Caribbean,VERY HIGH,0.963,2,0.833,0.865,82.4,77.8,16.7,16.2,10.5,10.7,16397.96495,30321.88498
19,Qatar,QAT,Arab States,VERY HIGH,1.030,2,0.866,0.841,82.0,79.1,14.1,11.3,11.3,9.4,45338.14107,107833.0289
20,Argentina,ARG,Latin America and the Caribbean,VERY HIGH,0.993,1,0.835,0.840,80.0,73.2,18.9,16.4,11.1,10.7,14872.16705,27825.75695
21,Brunei Darussalam,BRN,East Asia and the Pacific,VERY HIGH,0.981,1,0.830,0.846,77.1,74.7,14.8,13.9,9.1,9.2,54385.934,72834.57073
22,Kazakhstan,KAZ,Europe and Central Asia,VERY HIGH,0.980,1,0.807,0.823,77.7,69.2,15.8,15.1,10.9,11.9,16791.1332,29295.81278
23,Russian Federation,RUS,Europe and Central Asia,VERY HIGH,1.007,1,0.823,0.817,77.8,67.1,15.3,14.8,11.9,12.1,19693.99509,33639.83834
24,Uruguay,URY,Latin America and the Caribbean,VERY HIGH,1.016,1,0.814,0.801,81.5,74.1,17.1,15.1,9.2,8.6,15444.87123,25008.2709
